PSMID,cv,hsax-prediction,scx-prediction,rp-prediction,hsax-prediction-peptide1,scx-prediction-peptide1,rp-prediction-peptide1,hsax-prediction-peptide2,scx-prediction-peptide2,rp-prediction-peptide2,hsax-error,scx-error,rp-error,hsax-error-peptide1,scx-error-peptide1,rp-error-peptide1,hsax-error-peptide2,scx-error-peptide2,rp-error-peptide2
333321,3,5,6,49.87196731567383,4,5,25.502748489379883,1,4,8.849258422851562,0,-1,-1.4438303156738286,1,0,22.925388510620117,4,1,39.57887857714844
1414170,3,5,6,47.89852523803711,4,5,25.502748489379883,1,5,6.875824928283691,0,0,-0.6745472380371069,1,1,21.72122951062012,4,1,40.34815307171631
1625137,3,3,4,50.08993911743164,2,3,27.460880279541016,0,4,7.109106063842773,1,0,1.483296882568382,2,1,24.112355720459007,4,0,44.46412993615725
1016903,2,4,5,42.43447494506836,2,2,16.863292694091797,5,4,18.974536895751953,0,0,-6.559001945068353,2,3,19.01218030590821,-1,1,16.900936104248053
536858,3,4,7,45.856563568115234,4,5,25.502748489379883,0,6,4.83385705947876,1,0,-0.5889205681152347,1,2,19.764894510620117,5,1,40.43378594052124
1716498,1,6,3,54.32829666137695,6,0,35.073917388916016,7,1,26.44916534423828,0,-1,-10.248141661376955,0,2,9.006237611083982,-1,1,17.630989655761717
771545,1,3,3,38.3554573059082,4,1,19.174667358398438,5,0,26.375574111938477,0,1,-2.9673903059082036,-1,3,16.213399641601562,-2,4,9.012492888061523
112828,2,6,3,66.95486450195312,5,3,28.62466812133789,4,1,31.733558654785156,0,3,-10.51858650195313,1,3,27.811609878662104,2,5,24.702719345214838
1621608,1,4,4,43.06740951538086,7,1,20.137306213378906,5,0,30.124893188476562,0,0,-6.970812515380864,-3,3,15.95929078662109,-1,4,5.971703811523433
1177451,2,6,4,68.41741180419922,6,2,33.501888275146484,5,4,28.318885803222656,0,1,-12.042919804199215,0,3,22.87260372485352,1,1,28.055606196777347
5484,2,4,3,51.81044387817383,3,1,32.56876754760742,4,4,12.645039558410645,-1,0,-7.499061878173833,0,2,11.742614452392573,-1,-1,31.66634244158935
944506,3,5,3,68.85774230957031,3,4,34.42658615112305,0,2,18.91118621826172,1,-1,-3.209349309570314,3,-2,31.221806848876952,6,0,46.73720678173828
316956,3,1,5,41.8071403503418,1,3,24.695161819458008,0,5,1.5920186042785645,2,0,-0.8489663503417972,2,2,16.263012180541992,3,0,39.366155395721435
1718105,2,6,3,57.40068054199219,6,2,25.943889617919922,3,2,24.860145568847656,0,-1,-3.540791541992192,0,0,27.915999382080074,3,0,28.99974343115234
865085,3,7,5,74.9219970703125,4,6,36.89102554321289,4,2,22.511001586914062,0,-3,-11.722050070312498,3,-4,26.30892145678711,3,0,40.68894541308594
635299,1,6,3,62.75960922241211,7,0,48.65464401245117,6,1,21.29974365234375,-1,0,-11.624119222412112,-2,3,2.4808459875488253,-1,2,29.835746347656247
930500,2,6,1,74.6785888671875,4,2,33.46408462524414,5,1,34.61786651611328,-1,1,-13.138258867187496,1,0,28.076245374755864,0,1,26.922463483886723
1427768,1,2,0,55.64067459106445,2,0,30.672264099121094,6,0,32.1631965637207,0,2,-11.613459591064455,0,2,13.354950900878904,-4,2,11.864018436279295
1123754,3,7,4,83.56454467773438,5,3,32.61114501953125,4,4,35.43344497680664,1,-2,-8.111636677734381,3,-1,42.841762980468744,4,-2,40.01946302319335
866875,3,7,5,76.7489242553711,5,4,30.90223503112793,4,5,30.326730728149414,0,-3,-4.706688255371091,2,-2,41.14000096887207,3,-3,41.71550527185059
455478,1,4,2,57.21573257446289,8,0,31.18100357055664,4,0,33.229515075683594,-2,1,-9.223994574462886,-6,3,16.810734429443364,-2,3,14.762222924316411
1465107,2,7,4,80.2285385131836,7,2,38.97117233276367,6,4,34.66072082519531,1,1,-16.86708251318359,1,3,24.390283667236332,2,1,28.70073517480469
1465099,-1,7,6,68.74176025390625,6,6,34.455867767333984,3,6,27.35893440246582,1,-1,-5.450456253906253,2,-1,28.835436232666012,5,-1,35.932369597534176
125390,2,3,3,51.13291549682617,3,1,22.800945281982422,3,4,21.735334396362305,1,1,-7.739443496826176,1,3,20.592526718017574,1,0,21.65813760363769
931267,3,6,5,72.90373229980469,5,5,40.41080856323242,0,2,16.972963333129883,-1,-3,-7.205771299804681,0,-3,25.287152436767585,5,0,48.724997666870124
1559687,1,5,7,45.411251068115234,7,0,43.57747268676758,5,6,9.028570175170898,0,0,-1.2636970681152349,-2,7,0.5700813132324214,0,1,35.1189838248291
927972,3,4,3,48.61009979248047,3,3,14.356019973754883,0,2,18.73412322998047,1,-1,0.2546882075195285,2,-1,34.508768026245114,5,0,30.13066477001953
1597244,1,5,1,62.47465515136719,6,0,38.04097366333008,6,0,31.628463745117188,-1,2,-10.661069151367187,-2,3,13.772612336669923,-2,3,20.185122254882813
1663398,3,6,7,51.551815032958984,2,6,18.691011428833008,4,5,17.340845108032227,0,0,-3.974930032958987,4,1,28.88587357116699,2,2,30.23603989196777
878462,3,4,2,58.31618881225586,0,2,19.075336456298828,2,2,23.720888137817383,1,0,-3.8475488122558588,5,0,35.39330354370117,3,0,30.747751862182618
595912,2,6,3,74.11656951904297,6,2,28.602680206298828,4,2,38.9172477722168,-1,0,-18.008253519042945,-1,1,27.505635793701195,1,1,17.191068227783227
1664918,-1,6,4,57.28062057495117,5,5,24.624250411987305,1,4,25.729412078857422,0,3,-0.7444375749511707,1,2,31.911932588012696,5,3,30.80677092114258
1350706,1,7,4,67.14726257324219,8,1,53.72629165649414,4,0,20.615764617919922,0,2,-1.6112645732421953,-1,5,11.809706343505852,3,6,44.92023338208007
1626083,1,4,3,68.96476745605469,7,0,43.25476837158203,8,0,32.90476989746094,0,1,-13.337183456054696,-3,4,12.37281562841796,-4,4,22.722814102539054
517864,3,3,8,25.76033592224121,0,6,15.214529991149902,1,7,-4.97415018081665,2,0,3.6714690777587897,5,2,14.217275008850098,4,1,34.40595518081665
776657,2,4,3,70.33711242675781,3,4,34.7617301940918,4,1,28.97875213623047,-1,1,-11.83264342675782,0,0,23.742738805908196,-1,3,29.525716863769524
611103,2,6,6,67.3578109741211,5,4,26.17043685913086,6,2,34.590736389160156,0,0,-9.844397974121101,1,2,31.342976140869133,0,4,22.922676610839837
1245015,3,1,6,40.52669906616211,0,6,16.157480239868164,1,4,8.849258422851562,0,1,-4.198677066162105,1,1,20.17054176013184,0,3,27.47876357714844
1757696,-1,6,6,61.080711364746094,4,6,23.64841651916504,5,5,30.505327224731445,0,-1,-3.629100364746094,2,-1,33.80319448083496,1,0,26.946283775268554
1197904,2,2,6,29.50435447692871,4,4,16.60910415649414,1,3,6.298609733581543,-1,-2,-0.47398347692870857,-3,0,12.421266843505862,0,1,22.73176126641846
877089,1,6,0,58.609619140625,7,0,29.054454803466797,7,0,36.74994659423828,-1,2,-10.981342140625003,-2,2,18.5738221965332,-2,2,10.878330405761716
453544,3,0,3,40.543216705322266,0,2,11.898748397827148,0,4,13.12451171875,2,0,-1.0834177053222689,2,1,27.56105060217285,2,-1,26.335287281249997
111648,3,6,5,56.183685302734375,4,5,19.06913948059082,4,3,21.59458351135254,0,1,-6.315417302734353,2,1,30.7991285194092,2,3,28.273684488647483
1047350,2,6,3,58.774051666259766,5,2,27.064899444580078,6,2,25.112516403198242,0,1,-7.5937016662597685,1,2,24.11545055541992,0,2,26.067833596801755
7863,3,2,4,64.53250885009766,0,2,26.320539474487305,0,4,22.692005157470703,1,-1,-9.95655485009766,3,1,28.25541452551269,3,-1,31.883948842529293
467348,3,2,5,38.041748046875,2,5,12.224081993103027,0,4,10.297714233398438,1,1,-3.0941610468750014,1,1,22.72350500689697,3,2,24.64987276660156
1607822,-1,1,6,25.06477928161621,1,6,13.328250885009766,0,6,4.809571266174316,0,2,-0.4835402816162109,0,2,11.252988114990234,1,2,19.771667733825684
1217501,3,4,6,68.51126098632812,4,3,36.83382034301758,0,6,16.157480239868164,0,-1,-10.608981986328125,0,2,21.068458656982422,4,-1,41.744798760131836
932315,2,5,6,88.00682067871094,5,2,48.31034469604492,5,4,33.09983444213867,0,-4,-16.858379678710932,0,0,22.838096303955083,0,-2,38.04860655786133
1592589,3,2,3,29.730024337768555,4,3,7.904572486877441,0,2,6.305492877960205,2,0,-0.5316813377685534,0,0,21.29377051312256,4,1,22.892850122039796
398205,2,5,4,60.75880432128906,5,2,26.367809295654297,3,3,27.794353485107422,0,1,-8.560410321289062,0,3,25.830584704345704,2,2,24.40404051489258
110988,1,7,5,49.10224533081055,8,2,33.759857177734375,6,0,22.53717803955078,-1,1,-2.769699330810546,-2,4,12.572688822265626,0,6,23.79536796044922
332718,1,6,4,51.192352294921875,7,0,40.6302604675293,6,1,17.756877899169922,-1,1,-5.522634294921872,-2,5,5.039457532470706,-1,4,27.91284010083008
486167,1,7,4,85.33870697021484,8,0,67.66375732421875,7,1,24.869731903076172,1,-1,-17.268153970214854,0,3,0.40679567578123965,1,2,43.20082109692382
775896,3,3,6,59.4914665222168,0,6,21.995576858520508,4,2,21.975923538208008,0,-2,-4.642223522216796,3,-2,32.85366614147949,-1,2,32.87331946179199
814324,1,5,4,52.3936882019043,6,1,24.755535125732422,7,0,34.83293533325195,0,0,-8.956552201904294,-1,3,18.68160087426758,-2,4,8.60420066674805
802211,1,0,4,48.60628128051758,2,0,30.672264099121094,6,3,25.128799438476562,1,1,-7.912264280517576,-1,5,10.021752900878909,-5,2,15.56521756152344
5788,2,4,3,57.52971267700195,4,1,40.6275749206543,2,3,10.305495262145996,-1,0,-11.760391677001941,-1,2,5.141746079345715,1,0,35.463825737854016
1201188,2,1,3,52.92350769042969,2,3,30.600967407226562,1,1,15.725898742675781,0,1,-8.047550690429688,-1,1,14.274989592773437,0,3,29.15005825732422
637281,3,6,4,71.49478149414062,5,6,33.55104064941406,0,1,22.423776626586914,-1,-1,-10.996066494140628,0,-3,26.947674350585935,5,2,38.07493837341308
598411,1,6,2,90.41741943359375,7,0,46.307559967041016,7,0,51.30463790893555,-1,1,-22.02314143359375,-2,3,22.086718032958984,-2,3,17.089640091064453
399387,1,6,4,71.51760864257812,7,0,43.750370025634766,7,1,34.962013244628906,-1,1,-13.85592364257812,-2,5,13.91131497436524,-2,4,22.6996717553711
64641,2,3,3,50.4976921081543,1,3,24.96343994140625,4,1,18.93761444091797,0,-1,-7.8837171081543005,2,-1,17.650535058593746,-1,1,23.676360559082028
467649,1,3,5,38.29280471801758,7,0,24.187854766845703,6,1,21.29974365234375,0,1,-1.924361718017579,-4,6,12.180588233154296,-3,5,15.06869934765625
425196,2,4,7,40.98188781738281,3,6,15.061915397644043,4,4,19.32333755493164,0,0,-7.190351817382812,1,1,18.729620602355958,0,3,14.46819844506836
424615,3,3,6,35.17438507080078,0,6,4.83385705947876,1,2,14.820576667785645,1,1,-3.717767070800779,4,1,26.622760940521243,3,5,16.636041332214358
3262,1,4,2,40.28732681274414,5,0,20.197158813476562,5,0,27.284957885742188,-1,1,-5.789799812744143,-2,3,14.300368186523436,-2,3,7.2125691142578106
594847,1,5,1,64.08369445800781,7,0,29.69774627685547,5,0,41.58073425292969,0,2,-13.10828145800781,-2,3,21.277666723144534,0,3,9.394678747070316
1048592,1,6,2,74.70801544189453,7,0,46.612178802490234,6,0,35.29062271118164,0,2,-16.474602441894532,-1,4,11.621234197509764,0,4,22.942790288818358
108070,2,5,6,36.718502044677734,4,6,10.412309646606445,5,1,19.709550857543945,1,0,-5.7181210446777335,2,0,20.588071353393556,1,5,11.290830142456056
693717,2,3,4,51.80223083496094,1,4,16.78073501586914,4,1,28.42485809326172,-2,0,-11.410898834960939,0,0,23.610596984130858,-3,3,11.96647390673828
388683,1,6,0,105.64591979980469,6,0,61.13168716430664,7,0,51.70902633666992,-1,4,-25.565425799804686,-1,4,18.94880683569336,-2,4,28.37146766333008
1412601,2,5,5,47.56783676147461,4,2,23.1163387298584,4,4,17.85485076904297,0,1,-7.39551976147461,1,4,17.0559782701416,1,2,22.31746623095703
609771,-1,6,6,54.75669479370117,4,6,23.64841651916504,5,5,24.181318283081055,0,0,-5.039321793701177,2,0,26.068956480834956,1,1,25.53605471691894
1414586,1,7,5,58.178871154785156,8,2,33.759857177734375,6,0,31.613792419433594,-2,1,-8.725091154785154,-3,4,15.693922822265627,-1,6,17.839987580566408
930177,1,6,3,70.57266235351562,8,0,51.805843353271484,6,1,25.961593627929688,-1,-1,-10.806747353515625,-3,2,7.960071646728515,-1,1,33.80432137207031
777170,2,3,3,69.33124542236328,5,2,41.081905364990234,0,1,21.652706146240234,0,1,-8.167846422363283,-2,2,20.081493635009764,3,3,39.510692853759764
182076,-1,3,5,36.70876693725586,3,5,15.96589469909668,0,5,13.815914154052734,1,1,-1.9033309372558591,1,1,18.83954130090332,4,1,20.989521845947266
606759,3,5,6,35.201805114746094,1,6,4.178332805633545,5,2,15.503509521484375,1,0,-1.331711114746092,5,0,29.691761194366457,1,4,18.366584478515627
125627,3,3,4,41.94829177856445,1,6,4.306890487670898,0,2,22.12143898010254,1,0,2.4264152214355406,3,-2,40.067816512329095,4,2,22.253268019897455
380899,3,4,5,35.02571105957031,0,2,15.79621410369873,2,6,3.7095353603363037,1,-1,4.616948940429687,5,2,23.84644589630127,3,-2,35.933124639663696
1176356,-1,6,6,54.75669479370117,4,6,23.64841651916504,5,5,24.181318283081055,0,-1,-4.724407793701175,2,-1,26.383870480834958,1,0,25.850968716918942
124186,2,4,5,47.8226318359375,4,2,23.26264190673828,4,5,17.963359832763672,0,-1,-9.77587883593749,0,2,14.784111093261728,0,-1,20.083393167236338
469585,3,2,6,49.51509475708008,4,4,29.985055923461914,0,5,4.0100789070129395,1,0,-4.566190757080079,-1,2,14.963848076538085,3,1,40.93882509298706
695147,1,4,4,46.3084602355957,3,0,48.9466438293457,6,0,4.556605339050293,-3,0,0.6690127644043002,-2,4,-1.9691708293456998,-5,4,42.42086766094971
1155302,-1,5,6,50.11906433105469,4,5,30.046009063720703,2,5,13.146087646484375,0,2,-1.7220833310546695,1,3,18.350971936279315,3,3,35.25089335351564
1046357,1,6,4,56.218055725097656,7,0,31.71977996826172,8,0,31.693065643310547,0,0,-10.870621725097656,-1,4,13.627654031738281,-2,4,13.654368356689453
633465,3,4,4,51.11679458618164,3,3,28.20112419128418,0,5,7.3957085609436035,1,-1,-8.64393858618164,2,0,14.27173180871582,5,-2,35.0771474390564
1754743,2,6,4,46.631534576416016,5,1,26.67543601989746,6,4,13.359466552734375,0,1,-5.540905576416016,1,4,14.415192980102539,0,1,27.731162447265625
256314,-1,6,5,61.61360549926758,5,5,30.505327224731445,5,5,24.181318283081055,0,-2,-3.1413024992675815,1,-2,27.96697577526855,1,-2,34.29098471691894
291646,2,1,4,40.24067306518555,2,2,16.863292694091797,1,4,16.78073501586914,-1,1,-7.123778065185547,-2,3,16.253602305908203,-1,1,16.33615998413086
594375,1,6,1,55.907222747802734,7,0,34.26192855834961,2,0,28.84008026123047,-1,2,-7.0379067478027295,-2,3,14.607387441650395,3,3,20.029235738769536
386094,1,6,5,80.38838195800781,8,0,62.454383850097656,6,3,25.128799438476562,-1,-1,-15.315647958007816,-3,4,2.6183501499023407,-1,1,39.943934561523434
1623219,1,4,3,47.39151382446289,7,0,30.987716674804688,1,1,23.598581314086914,0,1,-4.25646982446289,-3,4,12.147327325195313,3,3,19.536462685913087
1716603,2,5,3,53.8548698425293,2,2,16.863292694091797,6,2,30.394935607910156,1,-1,-8.926233842529285,4,0,28.065343305908215,0,0,14.533700392089855
1558089,3,4,6,36.63524627685547,2,5,11.50804615020752,1,5,9.60723876953125,1,1,0.2226547231445295,3,2,25.34985484979248,4,2,27.25066223046875
1597372,3,5,4,58.54248046875,0,5,24.660001754760742,4,2,18.362524032592773,-1,-1,-6.106327468750003,4,-2,27.776151245239255,0,1,34.073628967407224
943841,3,6,4,68.09819030761719,5,5,36.91255569458008,1,2,15.665660858154297,0,-2,-5.931057307617188,1,-3,25.25457730541992,5,0,46.5014721418457
932846,3,6,4,83.99313354492188,2,4,36.78117752075195,2,3,31.691993713378906,-1,-2,-10.051275544921879,3,-2,37.16068047924804,3,-1,42.24986428662109
1664597,3,6,7,57.704593658447266,4,6,19.22650718688965,1,5,22.958127975463867,0,0,-3.1484656584472432,2,1,35.329620813110374,5,2,31.598000024536155
1437259,3,1,4,36.43967819213867,0,5,14.762102127075195,0,2,6.157620429992676,0,1,-2.8710221921386676,1,0,18.80655387292481,1,3,27.41103557000733
773803,1,4,3,47.71364212036133,7,0,45.47433853149414,2,1,9.43409252166748,-1,1,-1.739571120361326,-4,4,0.4997324685058615,1,3,36.53997847833252
1450239,2,7,2,70.81343841552734,6,1,42.60963439941406,5,3,21.607166290283203,-1,-2,-14.208250415527345,0,-1,13.995553600585936,1,-3,34.998021709716795
1596881,3,4,6,55.5550422668457,2,5,11.872761726379395,0,4,28.16231918334961,0,-3,-5.507427266845703,2,-2,38.174853273620606,4,-1,21.88529581665039
113603,1,7,4,74.94625854492188,7,0,38.79540252685547,8,0,43.345645904541016,-1,2,-14.228652544921871,-1,6,21.922203473144535,-2,6,17.371960095458988
878140,1,5,2,62.2419319152832,8,0,42.874263763427734,5,1,26.56244659423828,0,0,-9.3774809152832,-3,2,9.990187236572268,0,1,26.30200440576172
520755,-1,5,7,47.573768615722656,4,5,30.046009063720703,1,6,10.600804328918457,0,1,-2.420927615722647,1,3,15.106831936279306,4,2,34.55203667108155
1399065,1,7,1,74.068115234375,7,0,40.27791213989258,8,0,40.984981536865234,0,2,-17.328196234375007,0,3,16.462006860107415,-1,3,15.754937463134759
318736,1,5,5,54.63826370239258,8,0,42.874263763427734,2,4,18.95878028869629,-2,0,-6.054996702392579,-5,5,5.709003236572265,1,1,29.62448671130371
1719031,3,6,4,69.55782318115234,2,5,25.123380661010742,4,2,28.91447639465332,0,-2,-10.927957181152344,4,-3,33.50648533898926,2,0,29.71538960534668
1374158,2,7,4,64.33554077148438,6,5,28.009384155273438,6,1,29.729522705078125,0,2,-8.655533771484372,1,1,27.670622844726566,1,5,25.95048429492188
1412725,1,5,6,44.86198806762695,6,1,30.891908645629883,8,1,21.164867401123047,0,0,-4.248243067626952,-1,5,9.721836354370119,-3,5,19.448877598876955
256665,2,6,4,67.79895782470703,5,3,31.010698318481445,6,2,30.191608428955078,0,-1,-7.403807824707023,1,0,29.384451681518563,0,1,30.20354157104493
318813,3,3,6,54.8599967956543,0,4,18.370861053466797,3,5,20.969179153442383,0,-1,-5.947705795654279,3,1,30.54142994653322,0,0,27.943111846557635
1017450,-1,4,6,42.91916275024414,1,5,20.030736923217773,1,6,15.961466789245605,0,-1,-4.695532750244141,3,0,18.192893076782227,3,-1,22.262163210754395
1201513,2,2,4,58.01618576049805,3,4,21.19736099243164,1,1,30.22219467163086,-1,0,-11.571422760498045,-2,0,25.24740200756836,0,3,16.222568328369142
1620488,-1,3,4,30.334699630737305,4,5,12.555341720581055,0,4,10.852401733398438,1,0,0.6137173692626945,0,-1,18.393075279418944,4,0,20.09601526660156
805932,-1,2,4,59.99409103393555,1,6,30.212724685668945,0,3,22.854406356811523,-1,1,-1.7964140339355268,0,-1,27.984952314331075,1,2,35.3432706431885
316448,3,1,4,41.61876678466797,0,5,10.717452049255371,0,2,15.381359100341797,2,1,-2.945294784667972,3,0,27.956019950744626,3,3,23.2921128996582
1437522,3,1,5,36.01657485961914,0,1,14.782073974609375,1,6,5.714547157287598,0,0,-1.5849958596191485,1,4,19.649505025390617,0,-1,28.717031842712395
720677,1,3,0,59.3087158203125,5,0,32.84867477416992,5,0,33.65481185913086,-1,4,-10.864723820312506,-3,4,15.595317225830073,-3,4,14.789180140869135
114761,3,7,4,74.06552124023438,5,5,27.03581428527832,1,2,31.509740829467773,-1,2,-5.454183240234386,1,1,41.57552371472167,5,4,37.101597170532216
536132,2,6,7,46.609867095947266,5,4,26.600276947021484,5,6,13.412949562072754,-1,0,-4.732026095947255,0,3,15.277564052978526,0,1,28.464891437927257
304259,2,7,5,72.57733154296875,5,6,23.371057510375977,6,1,42.60963439941406,0,0,-18.31360554296873,2,-1,30.892668489624043,1,4,11.654091600585957
398213,-1,5,6,47.91009521484375,4,5,18.12418556213379,1,6,22.858951568603516,0,-1,4.23827478515625,1,0,34.02418443786621,4,-1,29.289418431396484
1048940,2,6,4,77.08580780029297,6,2,54.89078140258789,5,4,15.598386764526367,0,0,-17.263542800292967,0,2,4.931483597412111,1,0,44.223878235473634
457345,1,1,1,67.60787200927734,5,0,34.06537628173828,5,0,40.737281799316406,1,2,-11.06949900927735,-3,3,22.47299671826171,-3,3,15.801091200683587
890856,1,6,4,57.26566696166992,7,2,24.720569610595703,7,0,39.73988723754883,0,0,-10.171752961669924,-1,2,22.373344389404295,-1,4,7.35402676245117
123137,3,4,5,37.21635437011719,1,5,6.875824928283691,1,2,14.820576667785645,0,-1,-3.6283073701171915,3,-1,26.712222071716305,3,2,18.76747033221435
20975,3,0,4,34.578407287597656,0,1,19.990137100219727,0,6,-0.9316878914833069,2,1,5.939589712402345,2,4,20.527859899780275,2,-1,41.44968489148331
969847,2,6,4,66.05255889892578,6,4,40.91880416870117,6,2,18.5371150970459,1,0,-6.479770898925793,1,0,18.653983831298817,1,2,41.03567290295409
